gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,name,BLAS,pts
5203,franklin towne charter hs,charter,12-Sep,1209,9,4,Philadelphia,PA,681,Franklin Towne Chs,4200077,"5301 Tacony St Building 108, Philadelphia, PA  19137",(215) 289-5000,,http://www.franklintowne.org,4.20008E+11,40.0077,-75.0648,https://www.greatschools.org/pennsylvania/philadelphia/5203-Franklin-Towne-Charter-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=5203&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=5203&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/5203,franklin towne chs,95.42,2
5141,freire cs,charter,12-May,983,3,4,Philadelphia,PA,664,Freire Cs,4200060,"2027 Chestnut St, Philadelphia, PA  19103",(215) 557-8555,,,4.20006E+11,39.9524,-75.1745,https://www.greatschools.org/pennsylvania/philadelphia/5141-Freire-Cs/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=5141&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=5141&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/5141,freire cs,68.59,0
2072,furness horace hs,public,12-Sep,689,2,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"1900 South 3rd St, Philadelphia, PA  19148",(215) 952-6226,,,4.21899E+11,39.9237,-75.151,https://www.greatschools.org/pennsylvania/philadelphia/2072-Furness-Horace-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2072&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2072&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2072,furness horace hs,42.05,0
5225,gamp,public,12-May,504,9,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"23rd And Ritner Sts, Philadelphia, PA  19145",(215) 952-8590,,,4.21899E+11,39.9221,-75.1831,https://www.greatschools.org/pennsylvania/philadelphia/5225-Gamp/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=5225&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=5225&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/5225,gamp,80.39,2
2094,girls hs,public,12-Sep,1043,6,5,Philadelphia,PA,397,Philadelphia City School District,4218990,"1400 West Olney Ave, Philadelphia, PA  19141",(215) 276-5258,,,4.21899E+11,40.0384,-75.1462,https://www.greatschools.org/pennsylvania/philadelphia/2094-Girls-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2094&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2094&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2094,girls hs,78.09,1
5143,hardy williams academy cs,charter,K-12,1110,3,3,Philadelphia,PA,666,Hardy Williams Academy Cs,4200062,"1712 South 56th St, Philadelphia, PA  19143",(215) 724-2343,,http://www.Ã‚Â_hwacs.Ã‚Â_org,4.20006E+11,39.9372,-75.2253,https://www.greatschools.org/pennsylvania/philadelphia/5143-Hardy-Williams-Academy-Cs/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=5143&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=5143&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/5143,mastery cs - hardy williams,49.49,0
38,imhotep institute charter hs,charter,12-Sep,562,2,4,Philadelphia,PA,37,Imhotep Institute Chs,4200038,"6201 North 21st St, Philadelphia, PA  19138",(215) 438-4140,,http://www.imhotephighschool.com/,4.20004E+11,40.0492,-75.1546,https://www.greatschools.org/pennsylvania/philadelphia/38-Imhotep-Institute-Charter-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=38&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=38&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/38,imhotep institute chs,40.05,0
6404,kensington creative & performing arts hs,public,12-Sep,497,1,2,Philadelphia,PA,397,Philadelphia City School District,4218990,"1901 North Front St, Philadelphia, PA  19122",(215) 291-4700,,,4.21899E+11,39.9779,-75.1331,https://www.greatschools.org/pennsylvania/philadelphia/6404-Kensington-Creative-&-Performing-Arts-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=6404&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=6404&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/6404,kensington creative & performing arts hs,30.78,0
6401,kensington culinary arts,public,12-Sep,424,1,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"2463 Emerald St, Philadelphia, PA  19125",(215) 291-5185,,,4.21899E+11,39.9846,-75.1282,https://www.greatschools.org/pennsylvania/philadelphia/6401-Kensington-Culinary-Arts/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=6401&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=6401&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/6401,,,
6405,kensington intern business finance & entrep,public,12-Sep,358,1,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"2051 East Cumbeerland St, Philadelphia, PA  19125",(215) 291-4700,,,4.21899E+11,39.9845,-75.1266,https://www.greatschools.org/pennsylvania/philadelphia/6405-Kensington-Intern-Business-Finance-&-Entrep/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=6405&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=6405&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/6405,,,
11549,kensington urban education academy,public,12-Sep,348,1,NA,Philadelphia,PA,397,Philadelphia City School District,4218990,"2051 East Cumberland St, Philadelphia, PA  19125",(215) 291-5173,,,4.21899E+11,39.9848,-75.1269,https://www.greatschools.org/pennsylvania/philadelphia/11549-Kensington-Urban-Education-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=11549&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=11549&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/11549,,,
2157,king martin luther hs,public,12-Sep,1042,1,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"6100 Stenton Ave, Philadelphia, PA  19138",(215) 276-5253,(215) 276-5844,,4.21899E+11,40.0564,-75.1615,https://www.greatschools.org/pennsylvania/philadelphia/2157-King-Martin-Luther-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2157&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2157&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2157,king martin luther hs,33.51,0
6021,kipp philadelphia charter school,charter,K-12,1265,3,4,Philadelphia,PA,731,KIPP Philadelphia Charter School,4200122,"2709 North Broad St, Philadelphia, PA  19132",(215) 227-1728,(215) 827-5942,http://www.kippphiladelphia.org,4.20012E+11,39.9944,-75.1541,https://www.greatschools.org/pennsylvania/philadelphia/6021-Kipp-Philadelphia-Charter-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=6021&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=6021&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/6021,kipp philadelphia charter school,49.03,0
6406,lamberton robert hs,public,12-Sep,NA,NA,2,Philadelphia,PA,397,Philadelphia City School District,4218990,"7501 Woodbine Ave, Philadelphia, PA  19151",(215) 581-5650,,,4.21899E+11,39.9757,-75.2671,https://www.greatschools.org/pennsylvania/philadelphia/6406-Lamberton-Robert-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=6406&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=6406&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/6406,lamberton robert e school,40.77,0
6407,lankenau hs,public,12-Sep,313,3,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"201 Spring Ln, Philadelphia, PA  19128",(215) 487-4465,,,4.21899E+11,40.0624,-75.2526,https://www.greatschools.org/pennsylvania/philadelphia/6407-Lankenau-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=6407&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=6407&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/6407,lankenau hs,65.22,0
2096,lincoln hs,public,12-Sep,1547,1,3,Philadelphia,PA,397,Philadelphia City School District,4218990,"3201 Ryan Ave, Philadelphia, PA  19136",(215) 335-5653,,http://webgui.phila.k12.pa.us/schools/l/lincoln,4.21899E+11,40.0428,-75.0431,https://www.greatschools.org/pennsylvania/philadelphia/2096-Lincoln-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2096&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2096&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2096,lincoln hs,38.39,0
5205,mariana bracetti academy cs,charter,12-Jun,1288,3,4,Philadelphia,PA,683,Mariana Bracetti Academy Cs,4200079,"1840 Torresdale Ave, Philadelphia, PA  19124",(215) 291-4436,(215) 291-4985,http://www.mbacs.org,4.20008E+11,40.0059,-75.0951,https://www.greatschools.org/pennsylvania/philadelphia/5205-Mariana-Bracetti-Academy-Cs/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=5205&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=5205&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/5205,mariana bracetti academy cs,62.47,0
6022,maritime academy cs,charter,12-Apr,789,4,4,Philadelphia,PA,732,Maritime Academy Charter School,4200123,"2275 Bridge St, Philadelphia, PA  19137",(215) 535-4555,,,4.20012E+11,40.0085,-75.0652,https://www.greatschools.org/pennsylvania/philadelphia/6022-Maritime-Academy-Cs/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=6022&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=6022&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/6022,maritime academy cs,58.28,0
5132,mast community charter school,charter,K-12,1322,9,4,Philadelphia,PA,655,Mast Community Charter School,4200051,"1800 East Byberry Rd, Philadelphia, PA  19116",(267) 348-1100,(267) 348-1217,,4.20005E+11,40.114056,-75.00512,https://www.greatschools.org/pennsylvania/philadelphia/5132-Mast-Community-Charter-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=5132&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=5132&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/5132,mast community cs ii,60.26,0
2093,mastbaum jules e avts,public,12-Sep,592,1,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"3116 Frankford Ave, Philadelphia, PA  19134",(215) 291-4703,,,4.21899E+11,39.9925,-75.1121,https://www.greatschools.org/pennsylvania/philadelphia/2093-Mastbaum-Jules-E-Avts/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2093&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2093&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2093,mastbaum jules e area vocational-technical school,51.29,0
2063,masterman julia r sec school,public,12-May,1180,9,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"1699 Spring Garden St, Philadelphia, PA  19130",(215) 299-4661,(215) 299-3425,http://www.philasd.org/schools/masterman,4.21899E+11,39.9635,-75.1658,https://www.greatschools.org/pennsylvania/philadelphia/2063-Masterman-Julia-R-Secondary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2063&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2063&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2063,masterman julia r sec school,89.43,2
5238,mastery charter hs,charter,12-Jul,563,3,4,Philadelphia,PA,688,Mastery Charter High School,4200084,"35 South 4th St, Philadelphia, PA  19106",(215) 922-1902,,,4.20008E+11,39.9496,-75.1472,https://www.greatschools.org/pennsylvania/philadelphia/5238-Mastery-Charter-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=5238&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=5238&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/5238,frederick douglass mastery charter school,50.38,0
6490,mastery cs - thomas campus,charter,K-12,1352,4,4,Philadelphia,PA,819,Mastery Cs-Thomas Campus,4200144,"927 Johnston St, Philadelphia, PA  19148",(267) 236-0036,,,4.20014E+11,39.9147,-75.1636,https://www.greatschools.org/pennsylvania/philadelphia/6490-Mastery-Cs---Thomas-Campus/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=6490&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=6490&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/6490,mastery cs -thomas campus,57.39,0
